@relation nhpi_avg_date

@attribute Year numeric
@attribute Month numeric
@attribute Value numeric
@attribute Date date 'yyyy-MM-dd'

@data
1981,1,42.16393,1981-01-01
1981,2,42.5541,1981-02-01
1981,3,42.8082,1981-03-01
1981,4,43.15902,1981-04-01
1981,5,43.62131,1981-05-01
1981,6,43.76557,1981-06-01
1981,7,43.72295,1981-07-01
1981,8,43.6459,1981-08-01
1981,9,43.22131,1981-09-01
1981,10,43.07869,1981-10-01
1981,11,43.07705,1981-11-01
1981,12,43.22295,1981-12-01
1982,1,43.23934,1982-01-01
1982,2,43.01967,1982-02-01
1982,3,42.75082,1982-03-01
1982,4,42.57377,1982-04-01
1982,5,42.33279,1982-05-01
1982,6,42.14426,1982-06-01
1982,7,41.79016,1982-07-01
1982,8,41.71967,1982-08-01
1982,9,41.60328,1982-09-01
1982,10,41.54754,1982-10-01
1982,11,41.44918,1982-11-01
1982,12,41.5,1982-12-01
1983,1,41.53279,1983-01-01
1983,2,41.57541,1983-02-01
1983,3,41.57705,1983-03-01
1983,4,41.86885,1983-04-01
1983,5,42.01639,1983-05-01
1983,6,42.16557,1983-06-01
1983,7,42.29672,1983-07-01
1983,8,42.4623,1983-08-01
1983,9,42.59672,1983-09-01
1983,10,42.53443,1983-10-01
1983,11,42.7082,1983-11-01
1983,12,42.61967,1983-12-01
1984,1,42.76393,1984-01-01
1984,2,43.11967,1984-02-01
1984,3,43.28689,1984-03-01
1984,4,43.37541,1984-04-01
1984,5,43.54603,1984-05-01
1984,6,43.47937,1984-06-01
1984,7,43.44762,1984-07-01
1984,8,43.36032,1984-08-01
1984,9,43.34286,1984-09-01
1984,10,43.33175,1984-10-01
1984,11,43.43651,1984-11-01
1984,12,43.51587,1984-12-01
1985,1,43.64444,1985-01-01
1985,2,43.71429,1985-02-01
1985,3,44.05079,1985-03-01
1985,4,44.1381,1985-04-01
1985,5,44.26032,1985-05-01
1985,6,44.48889,1985-06-01
1985,7,44.60794,1985-07-01
1985,8,44.78254,1985-08-01
1985,9,44.96984,1985-09-01
1985,10,45.15079,1985-10-01
1985,11,45.39206,1985-11-01
1985,12,45.44921,1985-12-01
1986,1,44.41354,1986-01-01
1986,2,44.84063,1986-02-01
1986,3,45.00521,1986-03-01
1986,4,45.15417,1986-04-01
1986,5,45.40313,1986-05-01
1986,6,45.47813,1986-06-01
1986,7,45.59896,1986-07-01
1986,8,45.74583,1986-08-01
1986,9,46.03229,1986-09-01
1986,10,46.11458,1986-10-01
1986,11,46.47396,1986-11-01
1986,12,46.53542,1986-12-01
1987,1,46.71875,1987-01-01
1987,2,47.43333,1987-02-01
1987,3,48.02083,1987-03-01
1987,4,48.32708,1987-04-01
1987,5,48.62396,1987-05-01
1987,6,49.01458,1987-06-01
1987,7,49.1875,1987-07-01
1987,8,49.54479,1987-08-01
1987,9,49.91458,1987-09-01
1987,10,50.04271,1987-10-01
1987,11,50.24583,1987-11-01
1987,12,50.33542,1987-12-01
1988,1,50.54896,1988-01-01
1988,2,50.86979,1988-02-01
1988,3,51.15208,1988-03-01
1988,4,51.60938,1988-04-01
1988,5,51.91042,1988-05-01
1988,6,52.32083,1988-06-01
1988,7,52.425,1988-07-01
1988,8,52.67292,1988-08-01
1988,9,53.05417,1988-09-01
1988,10,53.25417,1988-10-01
1988,11,53.66875,1988-11-01
1988,12,54.00938,1988-12-01
1989,1,54.38854,1989-01-01
1989,2,55.47083,1989-02-01
1989,3,55.97188,1989-03-01
1989,4,56.35,1989-04-01
1989,5,56.53646,1989-05-01
1989,6,56.76979,1989-06-01
1989,7,56.95417,1989-07-01
1989,8,57.01667,1989-08-01
1989,9,57.42083,1989-09-01
1989,10,57.7375,1989-10-01
1989,11,58.11667,1989-11-01
1989,12,58.40417,1989-12-01
1990,1,58.90938,1990-01-01
1990,2,59.37188,1990-02-01
1990,3,59.66667,1990-03-01
1990,4,59.77292,1990-04-01
1990,5,59.66979,1990-05-01
1990,6,59.44063,1990-06-01
1990,7,59.39688,1990-07-01
1990,8,59.07188,1990-08-01
1990,9,58.83125,1990-09-01
1990,10,58.66979,1990-10-01
1990,11,58.45625,1990-11-01
1990,12,58.39479,1990-12-01
1991,1,58.02083,1991-01-01
1991,2,57.92292,1991-02-01
1991,3,58.16875,1991-03-01
1991,4,57.99063,1991-04-01
1991,5,58.27604,1991-05-01
1991,6,58.27083,1991-06-01
1991,7,58.32083,1991-07-01
1991,8,58.32188,1991-08-01
1991,9,58.31667,1991-09-01
1991,10,58.30313,1991-10-01
1991,11,58.28854,1991-11-01
1991,12,58.27292,1991-12-01
1992,1,58.25104,1992-01-01
1992,2,58.34792,1992-02-01
1992,3,58.50833,1992-03-01
1992,4,58.64583,1992-04-01
1992,5,58.80938,1992-05-01
1992,6,58.89063,1992-06-01
1992,7,59,1992-07-01
1992,8,58.99583,1992-08-01
1992,9,59.0625,1992-09-01
1992,10,59.12396,1992-10-01
1992,11,59.18854,1992-11-01
1992,12,59.12917,1992-12-01
1993,1,59.11146,1993-01-01
1993,2,59.30938,1993-02-01
1993,3,59.69479,1993-03-01
1993,4,59.89271,1993-04-01
1993,5,59.84063,1993-05-01
1993,6,59.83125,1993-06-01
1993,7,59.89479,1993-07-01
1993,8,59.95729,1993-08-01
1993,9,59.93021,1993-09-01
1993,10,59.85625,1993-10-01
1993,11,59.93542,1993-11-01
1993,12,59.91667,1993-12-01
1994,1,59.93958,1994-01-01
1994,2,59.86667,1994-02-01
1994,3,59.89271,1994-03-01
1994,4,59.93229,1994-04-01
1994,5,60.02083,1994-05-01
1994,6,60.01563,1994-06-01
1994,7,59.99375,1994-07-01
1994,8,60.12604,1994-08-01
1994,9,60.09688,1994-09-01
1994,10,60.04792,1994-10-01
1994,11,60.06563,1994-11-01
1994,12,59.96979,1994-12-01
1995,1,61.00098,1995-01-01
1995,2,60.88333,1995-02-01
1995,3,60.86961,1995-03-01
1995,4,60.82157,1995-04-01
1995,5,60.71667,1995-05-01
1995,6,60.66961,1995-06-01
1995,7,60.62059,1995-07-01
1995,8,60.61765,1995-08-01
1995,9,60.55882,1995-09-01
1995,10,60.41471,1995-10-01
1995,11,60.27451,1995-11-01
1995,12,60.25196,1995-12-01
1996,1,60.19412,1996-01-01
1996,2,60.09608,1996-02-01
1996,3,60.08627,1996-03-01
1996,4,59.99314,1996-04-01
1996,5,59.91863,1996-05-01
1996,6,59.96863,1996-06-01
1996,7,59.94118,1996-07-01
1996,8,59.92941,1996-08-01
1996,9,59.96078,1996-09-01
1996,10,59.94412,1996-10-01
1996,11,60.02157,1996-11-01
1996,12,60.03529,1996-12-01
1997,1,60.06765,1997-01-01
1997,2,60.1402,1997-02-01
1997,3,60.2,1997-03-01
1997,4,59.82941,1997-04-01
1997,5,59.78824,1997-05-01
1997,6,59.88922,1997-06-01
1997,7,59.89706,1997-07-01
1997,8,59.95098,1997-08-01
1997,9,59.90294,1997-09-01
1997,10,59.89216,1997-10-01
1997,11,59.88922,1997-11-01
1997,12,59.95686,1997-12-01
1998,1,59.96373,1998-01-01
1998,2,60.00882,1998-02-01
1998,3,60.02353,1998-03-01
1998,4,60.01765,1998-04-01
1998,5,60.0098,1998-05-01
1998,6,60.02157,1998-06-01
1998,7,60.02353,1998-07-01
1998,8,60.06667,1998-08-01
1998,9,60.11373,1998-09-01
1998,10,60.16373,1998-10-01
1998,11,60.2049,1998-11-01
1998,12,60.21471,1998-12-01
1999,1,60.30882,1999-01-01
1999,2,60.31078,1999-02-01
1999,3,60.34314,1999-03-01
1999,4,60.36275,1999-04-01
1999,5,60.37745,1999-05-01
1999,6,60.4402,1999-06-01
1999,7,60.53922,1999-07-01
1999,8,60.70196,1999-08-01
1999,9,60.76961,1999-09-01
1999,10,60.88235,1999-10-01
1999,11,60.95,1999-11-01
1999,12,60.99804,1999-12-01
2000,1,60.99902,2000-01-01
2000,2,61.17059,2000-02-01
2000,3,61.1902,2000-03-01
2000,4,61.30588,2000-04-01
2000,5,61.36765,2000-05-01
2000,6,61.43431,2000-06-01
2000,7,61.49314,2000-07-01
2000,8,61.68922,2000-08-01
2000,9,61.76765,2000-09-01
2000,10,61.84706,2000-10-01
2000,11,61.9402,2000-11-01
2000,12,61.96961,2000-12-01
2001,1,62.09902,2001-01-01
2001,2,62.17843,2001-02-01
2001,3,62.30392,2001-03-01
2001,4,62.39608,2001-04-01
2001,5,62.53824,2001-05-01
2001,6,62.63922,2001-06-01
2001,7,62.79412,2001-07-01
2001,8,62.92353,2001-08-01
2001,9,63.01176,2001-09-01
2001,10,63.09412,2001-10-01
2001,11,63.20098,2001-11-01
2001,12,63.26275,2001-12-01
2002,1,63.45882,2002-01-01
2002,2,63.70294,2002-02-01
2002,3,63.85,2002-03-01
2002,4,64.08824,2002-04-01
2002,5,64.51667,2002-05-01
2002,6,64.66078,2002-06-01
2002,7,64.73333,2002-07-01
2002,8,64.98627,2002-08-01
2002,9,65.14216,2002-09-01
2002,10,65.35294,2002-10-01
2002,11,65.58922,2002-11-01
2002,12,65.69118,2002-12-01
2003,1,66.00098,2003-01-01
2003,2,66.23333,2003-02-01
2003,3,66.35294,2003-03-01
2003,4,66.57745,2003-04-01
2003,5,66.8098,2003-05-01
2003,6,66.97843,2003-06-01
2003,7,67.08137,2003-07-01
2003,8,67.34804,2003-08-01
2003,9,67.6598,2003-09-01
2003,10,67.86373,2003-10-01
2003,11,68.13725,2003-11-01
2003,12,68.35784,2003-12-01
2004,1,68.49118,2004-01-01
2004,2,68.73431,2004-02-01
2004,3,68.97059,2004-03-01
2004,4,69.27451,2004-04-01
2004,5,69.66078,2004-05-01
2004,6,70.13725,2004-06-01
2004,7,70.2598,2004-07-01
2004,8,70.59902,2004-08-01
2004,9,70.84314,2004-09-01
2004,10,71.04412,2004-10-01
2004,11,71.38922,2004-11-01
2004,12,71.53235,2004-12-01
2005,1,71.78333,2005-01-01
2005,2,72.07353,2005-02-01
2005,3,72.27941,2005-03-01
2005,4,72.52843,2005-04-01
2005,5,72.96471,2005-05-01
2005,6,73.35882,2005-06-01
2005,7,73.50588,2005-07-01
2005,8,74.03431,2005-08-01
2005,9,74.55686,2005-09-01
2005,10,74.85098,2005-10-01
2005,11,75.12353,2005-11-01
2005,12,75.43039,2005-12-01
2006,1,75.87941,2006-01-01
2006,2,76.25196,2006-02-01
2006,3,76.93725,2006-03-01
2006,4,77.46667,2006-04-01
2006,5,78.21961,2006-05-01
2006,6,78.92157,2006-06-01
2006,7,79.6598,2006-07-01
2006,8,80.48529,2006-08-01
2006,9,80.91667,2006-09-01
2006,10,81.03333,2006-10-01
2006,11,81.44314,2006-11-01
2006,12,81.60196,2006-12-01
2007,1,81.76176,2007-01-01
2007,2,82.17255,2007-02-01
2007,3,82.7,2007-03-01
2007,4,83.28824,2007-04-01
2007,5,84.56765,2007-05-01
2007,6,85.44412,2007-06-01
2007,7,86.41275,2007-07-01
2007,8,86.86569,2007-08-01
2007,9,87.1,2007-09-01
2007,10,87.2598,2007-10-01
2007,11,87.77255,2007-11-01
2007,12,87.96176,2007-12-01
2008,1,88.5951,2008-01-01
2008,2,89.30392,2008-02-01
2008,3,89.62843,2008-03-01
2008,4,90.0549,2008-04-01
2008,5,90.48922,2008-05-01
2008,6,90.79412,2008-06-01
2008,7,91.13137,2008-07-01
2008,8,91.10588,2008-08-01
2008,9,91.08039,2008-09-01
2008,10,90.88922,2008-10-01
2008,11,90.92647,2008-11-01
2008,12,90.8402,2008-12-01
2009,1,90.67745,2009-01-01
2009,2,90.45784,2009-02-01
2009,3,90.18137,2009-03-01
2009,4,90.00784,2009-04-01
2009,5,89.94608,2009-05-01
2009,6,89.90784,2009-06-01
2009,7,89.93333,2009-07-01
2009,8,90.16176,2009-08-01
2009,9,90.34118,2009-09-01
2009,10,90.43235,2009-10-01
2009,11,90.64412,2009-11-01
2009,12,90.78137,2009-12-01
2010,1,91.04706,2010-01-01
2010,2,91.43137,2010-02-01
2010,3,91.57353,2010-03-01
2010,4,91.76961,2010-04-01
2010,5,92.09902,2010-05-01
2010,6,92.23824,2010-06-01
2010,7,92.03235,2010-07-01
2010,8,92.10686,2010-08-01
2010,9,92.22255,2010-09-01
2010,10,92.25588,2010-10-01
2010,11,92.69314,2010-11-01
2010,12,92.71471,2010-12-01
2011,1,92.82157,2011-01-01
2011,2,93.17941,2011-02-01
2011,3,93.20098,2011-03-01
2011,4,93.27941,2011-04-01
2011,5,93.51667,2011-05-01
2011,6,93.61471,2011-06-01
2011,7,93.71373,2011-07-01
2011,8,93.86373,2011-08-01
2011,9,93.99706,2011-09-01
2011,10,94.05588,2011-10-01
2011,11,94.22843,2011-11-01
2011,12,94.27157,2011-12-01
2012,1,94.32549,2012-01-01
2012,2,94.58529,2012-02-01
2012,3,94.73333,2012-03-01
2012,4,94.87647,2012-04-01
2012,5,95,2012-05-01
2012,6,95.19902,2012-06-01
2012,7,95.28824,2012-07-01
2012,8,95.37451,2012-08-01
2012,9,95.47255,2012-09-01
2012,10,95.56471,2012-10-01
2012,11,95.6451,2012-11-01
2012,12,95.73431,2012-12-01
2013,1,95.8902,2013-01-01
2013,2,96.08824,2013-02-01
2013,3,96.21176,2013-03-01
2013,4,96.41275,2013-04-01
2013,5,96.57843,2013-05-01
2013,6,96.66765,2013-06-01
2013,7,96.78824,2013-07-01
2013,8,96.89314,2013-08-01
2013,9,96.89902,2013-09-01
2013,10,96.99412,2013-10-01
2013,11,97.04216,2013-11-01
2013,12,97.04412,2013-12-01
2014,1,97.19804,2014-01-01
2014,2,97.34314,2014-02-01
2014,3,97.37745,2014-03-01
2014,4,97.42647,2014-04-01
2014,5,97.52549,2014-05-01
2014,6,97.57255,2014-06-01
2014,7,97.57745,2014-07-01
2014,8,97.66667,2014-08-01
2014,9,97.68824,2014-09-01
2014,10,97.73431,2014-10-01
2014,11,97.78137,2014-11-01
2014,12,97.83627,2014-12-01
2015,1,97.84706,2015-01-01
2015,2,97.91275,2015-02-01
2015,3,97.92353,2015-03-01
2015,4,97.95784,2015-04-01
2015,5,98.02255,2015-05-01
2015,6,98.12451,2015-06-01
2015,7,98.21471,2015-07-01
2015,8,98.27549,2015-08-01
2015,9,98.28627,2015-09-01
2015,10,98.34902,2015-10-01
2015,11,98.38333,2015-11-01
2015,12,98.44706,2015-12-01
2016,1,98.48039,2016-01-01
2016,2,98.61373,2016-02-01
2016,3,98.66667,2016-03-01
2016,4,98.77059,2016-04-01
2016,5,99.02255,2016-05-01
2016,6,99.08824,2016-06-01
2016,7,99.21961,2016-07-01
2016,8,99.27353,2016-08-01
2016,9,99.50392,2016-09-01
2016,10,99.76863,2016-10-01
2016,11,99.89216,2016-11-01
2016,12,100,2016-12-01
2017,1,100.1275,2017-01-01
2017,2,100.3425,2017-02-01
2017,3,100.485,2017-03-01
2017,4,100.85167,2017-04-01
2017,5,101.14333,2017-05-01
2017,6,101.24583,2017-06-01
2017,7,101.53167,2017-07-01
2017,8,101.59417,2017-08-01
2017,9,101.735,2017-09-01
2017,10,101.81917,2017-10-01
2017,11,101.8775,2017-11-01
2017,12,101.895,2017-12-01
2018,1,101.9575,2018-01-01
2018,2,101.92583,2018-02-01
2018,3,102.035,2018-03-01
2018,4,102.12583,2018-04-01
2018,5,102.15167,2018-05-01
2018,6,102.25333,2018-06-01
2018,7,102.32083,2018-07-01
2018,8,102.3175,2018-08-01
2018,9,102.29667,2018-09-01
2018,10,102.3375,2018-10-01
2018,11,102.3275,2018-11-01
2018,12,102.33583,2018-12-01
2019,1,102.35,2019-01-01
2019,2,102.38,2019-02-01
2019,3,102.395,2019-03-01
2019,4,102.33583,2019-04-01
2019,5,102.38917,2019-05-01
2019,6,102.3875,2019-06-01
2019,7,102.43583,2019-07-01
2019,8,102.57333,2019-08-01
2019,9,102.82167,2019-09-01
2019,10,102.9425,2019-10-01
2019,11,102.91917,2019-11-01
2019,12,103.06417,2019-12-01
2020,1,103.16083,2020-01-01
2020,2,103.42667,2020-02-01
2020,3,103.59667,2020-03-01
2020,4,103.66333,2020-04-01
2020,5,103.77083,2020-05-01
2020,6,103.8925,2020-06-01
2020,7,104.1175,2020-07-01
2020,8,104.665,2020-08-01
2020,9,105.5875,2020-09-01
2020,10,106.395,2020-10-01
2020,11,107.0575,2020-11-01
2020,12,107.41667,2020-12-01
2021,1,108.22417,2021-01-01
2021,2,109.50417,2021-02-01
2021,3,110.835,2021-03-01
2021,4,112.88833,2021-04-01
2021,5,114.44917,2021-05-01
2021,6,115.31,2021-06-01
2021,7,115.84583,2021-07-01
2021,8,116.44167,2021-08-01
