YEAR,MONTH,GEO,VALUE
1981,1,Canada,38.2
1981,1,Canada,36.1
1981,1,Canada,40.6
1981,1,"St. John's, Newfoundland and Labrador",36.1
1981,1,"St. John's, Newfoundland and Labrador",37.5
1981,1,"St. John's, Newfoundland and Labrador",31.4
1981,1,"Halifax, Nova Scotia",32.5
1981,1,"Saint John, Fredericton, and Moncton, New Brunswick",55.9
1981,1,"Saint John, Fredericton, and Moncton, New Brunswick",61.4
1981,1,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981,1,"Québec, Quebec",30.1
1981,1,"Québec, Quebec",34.9
1981,1,"Québec, Quebec",19.8
1981,1,"Montréal, Quebec",28.5
1981,1,"Montréal, Quebec",30
1981,1,"Montréal, Quebec",20.3
1981,1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",32.6
1981,1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",30.8
1981,1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",39.9
1981,1,"Toronto, Ontario",28
1981,1,"Toronto, Ontario",22.6
1981,1,"Toronto, Ontario",39.1
1981,1,"Hamilton, Ontario",30.3
1981,1,"Hamilton, Ontario",24.8
1981,1,"Hamilton, Ontario",46
1981,1,"St. Catharines-Niagara, Ontario",30.6
1981,1,"St. Catharines-Niagara, Ontario",28.3
1981,1,"St. Catharines-Niagara, Ontario",35.6
1981,1,"Kitchener-Cambridge-Waterloo, Ontario",34
1981,1,"Kitchener-Cambridge-Waterloo, Ontario",30.4
1981,1,"Kitchener-Cambridge-Waterloo, Ontario",43.4
1981,1,"London, Ontario",31.8
1981,1,"London, Ontario",27
1981,1,"London, Ontario",51
1981,1,"Windsor, Ontario",61.2
1981,1,"Windsor, Ontario",64.9
1981,1,"Windsor, Ontario",47.5
1981,1,"Greater Sudbury, Ontario",54.7
1981,1,"Greater Sudbury, Ontario",54.6
1981,1,"Greater Sudbury, Ontario",51.4
1981,1,"Winnipeg, Manitoba",26.6
1981,1,"Winnipeg, Manitoba",29.3
1981,1,"Winnipeg, Manitoba",18.7
1981,1,"Regina, Saskatchewan",19.8
1981,1,"Regina, Saskatchewan",20.7
1981,1,"Regina, Saskatchewan",16.7
1981,1,"Saskatoon, Saskatchewan",33
1981,1,"Saskatoon, Saskatchewan",35.8
1981,1,"Saskatoon, Saskatchewan",26
1981,1,"Calgary, Alberta",25.3
1981,1,"Calgary, Alberta",27.8
1981,1,"Calgary, Alberta",19.4
1981,1,"Edmonton, Alberta",35.8
1981,1,"Edmonton, Alberta",36.5
1981,1,"Edmonton, Alberta",32.7
1981,1,"Vancouver, British Columbia",90.5
1981,1,"Vancouver, British Columbia",96.1
1981,1,"Vancouver, British Columbia",83.5
1981,1,"Victoria, British Columbia",128.7
1981,1,"Victoria, British Columbia",206.8
1981,1,"Victoria, British Columbia",50.5
